Date,ARKK,DIA,EFA,IWM,QQQ,SPY,VOO,VTI,XLF,XLK
2021-04-14,122.82325744628906,311.4970703125,68.04676055908203,211.10757446289062,327.39251708984375,386.4754333496094,354.29974365234375,200.96426391601562,32.52342224121094,136.00668334960938
2021-04-15,124.5445785522461,314.1827392578125,68.61329650878906,212.0244903564453,332.3542785644531,390.62713623046875,358.1029357910156,203.1021728515625,32.495697021484375,138.34243774414062
2021-04-16,122.3412857055664,315.5968933105469,69.1101303100586,212.36480712890625,332.7434997558594,391.9327697753906,359.358154296875,203.61790466308594,32.726810455322266,138.31349182128906
2021-04-19,118.46587371826172,314.57232666015625,68.98810577392578,209.60450744628906,329.6982421875,390.0071716308594,357.58770751953125,202.2864227294922,32.634361267089844,137.16488647460938
2021-04-20,117.04947662353516,312.1442565917969,67.75041961669922,205.31277465820312,327.295166015625,387.1517028808594,354.96484375,200.4297637939453,32.02418899536133,135.94873046875
2021-04-21,119.82325744628906,315.0800476074219,68.44770812988281,210.33238220214844,330.09722900390625,390.8150329589844,358.2995910644531,202.8208770751953,32.46794128417969,137.31932067871094
2021-04-22,119.41997528076172,312.1442565917969,68.22107696533203,209.4627227783203,326.1179504394531,387.24566650390625,355.01171875,201.23617553710938,32.107398986816406,135.70742797851562
2021-04-23,121.67243957519531,314.2768249511719,68.91837310791016,213.4141387939453,330.2236633300781,391.44427490234375,358.7961120605469,203.6741485595703,32.708316802978516,137.73435974121094
2021-04-26,125.63639068603516,313.760009765625,68.97066497802734,215.6355743408203,332.37371826171875,392.261474609375,359.57366943359375,204.41497802734375,32.83774948120117,138.43893432617188
2021-04-27,124.1707992553711,313.7230224609375,68.7440414428711,215.95700073242188,330.93377685546875,392.1769104003906,359.461181640625,204.32118225097656,33.09659957885742,138.10110473632812
2021-04-28,123.32489776611328,312.375244140625,68.91837310791016,216.32568359375,329.8150634765625,392.0643310546875,359.2925720214844,204.2930450439453,33.22602462768555,136.81741333007812
2021-04-29,119.76424407958984,314.40606689453125,68.94451141357422,215.52212524414062,331.001953125,394.5628356933594,361.6905822753906,205.0713348388672,33.81770324707031,136.70159912109375
2021-04-30,118.79045867919922,312.9013977050781,68.08162689208984,212.59169006347656,328.8323974609375,391.97027587890625,359.30194091796875,203.571044921875,33.5218620300293,134.83877563476562
2021-05-03,114.99372863769531,314.90460205078125,68.83121490478516,213.6315460205078,327.0811462402344,392.8157043457031,360.1168518066406,203.9273681640625,33.688270568847656,134.46231079101562
2021-05-04,111.43306732177734,315.25555419921875,67.81143188476562,211.07919311523438,321.195068359375,390.3923034667969,357.9250183105469,202.39894104003906,33.95637512207031,132.0492706298828
2021-05-05,109.72158813476562,315.98468017578125,68.73533630371094,210.2378387451172,320.11517333984375,390.5144348144531,357.99053955078125,202.36143493652344,34.23373031616211,131.7307891845703
2021-05-06,106.56420135498047,318.966552734375,69.30189514160156,210.41744995117188,322.5279541015625,393.6329040527344,360.9037780761719,203.39288330078125,34.742183685302734,133.05313110351562
